,Epoch number,Dataset,Parameter,Result
112,28,Train dataset,Loss,0.3666774034500122
113,28,Train dataset,Jaccard Index,0.9755346775054932
114,28,Test dataset,Loss,0.690575361251831
115,28,Test dataset,Jaccard Index,0.1032826229929924
116,29,Train dataset,Loss,0.362846314907074
117,29,Train dataset,Jaccard Index,0.9771643280982971
118,29,Test dataset,Loss,0.682649552822113
119,29,Test dataset,Jaccard Index,0.12528729438781738
120,30,Train dataset,Loss,0.35921961069107056
121,30,Train dataset,Jaccard Index,0.9785951375961304
122,30,Test dataset,Loss,0.6708283424377441
123,30,Test dataset,Jaccard Index,0.16230309009552002
124,31,Train dataset,Loss,0.35597798228263855
125,31,Train dataset,Jaccard Index,0.9792700409889221
126,31,Test dataset,Loss,0.6578677296638489
127,31,Test dataset,Jaccard Index,0.22418247163295746
128,32,Train dataset,Loss,0.35283276438713074
129,32,Train dataset,Jaccard Index,0.9807716012001038
130,32,Test dataset,Loss,0.6421036720275879
131,32,Test dataset,Jaccard Index,0.29360777139663696
132,33,Train dataset,Loss,0.3500107526779175
133,33,Train dataset,Jaccard Index,0.9813405871391296
134,33,Test dataset,Loss,0.6224091053009033
135,33,Test dataset,Jaccard Index,0.37506744265556335
136,34,Train dataset,Loss,0.347257137298584
137,34,Train dataset,Jaccard Index,0.9831809997558594
138,34,Test dataset,Loss,0.6067417860031128
139,34,Test dataset,Jaccard Index,0.4508064091205597
140,35,Train dataset,Loss,0.34474748373031616
141,35,Train dataset,Jaccard Index,0.9841313362121582
142,35,Test dataset,Loss,0.6026261448860168
143,35,Test dataset,Jaccard Index,0.48122113943099976
144,36,Train dataset,Loss,0.342388391494751
145,36,Train dataset,Jaccard Index,0.9842983484268188
146,36,Test dataset,Loss,0.6030166149139404
147,36,Test dataset,Jaccard Index,0.4905983805656433
148,37,Train dataset,Loss,0.34006190299987793
149,37,Train dataset,Jaccard Index,0.9847346544265747
150,37,Test dataset,Loss,0.5992709398269653
151,37,Test dataset,Jaccard Index,0.5088270902633667
152,38,Train dataset,Loss,0.3378943204879761
153,38,Train dataset,Jaccard Index,0.985414981842041
154,38,Test dataset,Loss,0.5957322716712952
155,38,Test dataset,Jaccard Index,0.5220274329185486
156,39,Train dataset,Loss,0.33583399653434753
157,39,Train dataset,Jaccard Index,0.9866043329238892
158,39,Test dataset,Loss,0.5983845591545105
159,39,Test dataset,Jaccard Index,0.5223110318183899
160,40,Train dataset,Loss,0.33384212851524353
161,40,Train dataset,Jaccard Index,0.9874259829521179
162,40,Test dataset,Loss,0.6081644296646118
163,40,Test dataset,Jaccard Index,0.5112868547439575
164,41,Train dataset,Loss,0.33199837803840637
165,41,Train dataset,Jaccard Index,0.9873683452606201
166,41,Test dataset,Loss,0.6244598627090454
167,41,Test dataset,Jaccard Index,0.48921605944633484
168,42,Train dataset,Loss,0.3301369547843933
169,42,Train dataset,Jaccard Index,0.9874625205993652
170,42,Test dataset,Loss,0.627539873123169
171,42,Test dataset,Jaccard Index,0.4954778850078583
172,43,Train dataset,Loss,0.3284531831741333
173,43,Train dataset,Jaccard Index,0.9870202541351318
174,43,Test dataset,Loss,0.6024203300476074
175,43,Test dataset,Jaccard Index,0.5380871295928955
176,44,Train dataset,Loss,0.3267691731452942
177,44,Train dataset,Jaccard Index,0.9876993298530579
178,44,Test dataset,Loss,0.584145724773407
179,44,Test dataset,Jaccard Index,0.5553631782531738
180,45,Train dataset,Loss,0.3251810371875763
181,45,Train dataset,Jaccard Index,0.9885475039482117
182,45,Test dataset,Loss,0.5798993110656738
183,45,Test dataset,Jaccard Index,0.5651183128356934
184,46,Train dataset,Loss,0.323605477809906
185,46,Train dataset,Jaccard Index,0.988882839679718
186,46,Test dataset,Loss,0.5829713940620422
187,46,Test dataset,Jaccard Index,0.5734306573867798
188,47,Train dataset,Loss,0.3221238851547241
189,47,Train dataset,Jaccard Index,0.9885996580123901
190,47,Test dataset,Loss,0.5902771949768066
191,47,Test dataset,Jaccard Index,0.56270432472229
192,48,Train dataset,Loss,0.32066071033477783
193,48,Train dataset,Jaccard Index,0.9888467788696289
194,48,Test dataset,Loss,0.5956718921661377
195,48,Test dataset,Jaccard Index,0.5581790208816528
196,49,Train dataset,Loss,0.31925246119499207
197,49,Train dataset,Jaccard Index,0.9892022013664246
198,49,Test dataset,Loss,0.5999795198440552
199,49,Test dataset,Jaccard Index,0.5779439210891724
